Employee_ID,Global_UID,Employment_Status,First_Name,Middle_Name,Last_Name,Maiden_Name,SSN_National_ID,Passport_Number,Driver_License_Number,Date_of_Birth,Place_of_Birth,Gender,Marital_Status,Nationality,Personal_Email,Work_Email,Home_Phone,Mobile_Phone,Street_Address,City,State_Province,Zip_Postal_Code,Country,Job_Title,Department,Manager_Name,Hire_Date,Annual_Salary,Bonus_Target_Percent,Direct_Deposit_Routing,Direct_Deposit_Account,Emergency_Contact,Emergency_Phone,Insurance_Policy_ID,DLP_Sensitivity_Label
EMP-10329,1180013c-8488-4cdf-934c-10a5df948899,Terminated,Yolanda,James,George,,ZZ 98 17 26 T,KR2433398,Z9423526,1993-11-18,Port Marc,Non-Binary,Married,United Kingdom,howard31@gmail.com,yolanda.george@corp-internal.com,(0113) 4960415,+44(0)1214960661,2926 Sandoval Field,Joshuaport,CA,29494,USA,Audiological scientist,Finance,Shaun Carroll,2019-12-28,"$64,223",13%,067424166,TJTC72014298028096,Kristin Peterson,936-471-1893,GRP-362668,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10330,490ad3b3-f5ca-44be-ba3e-56f50dd8e8b3,On Leave,Joshua,Brandon,Spencer,,367-94-7224,RT9522824,B5873516,1962-01-11,Lake Scott,Female,Divorced,United States,jonathan28@yahoo.com,joshua.spencer@corp-internal.com,+1-226-775-3079x2347,740-976-5981x917,3948 Snyder Via Apt. 481,South Alexandermouth,IL,88854,USA,"Therapist, music",Sales,Mr Kyle Pratt,2018-11-25,"$78,406",7%,126398829,EXWQ75400140161590,Nathan Jefferson,+44(0)1632 960255,GRP-897651,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10331,6410a625-0d8b-4a8d-9bfe-068ef1007b40,Active,Wendy,Corey,Fernandez,,ZZ085673T,RX2266062,G4493894,1991-08-04,Frederickview,Male,Single,United States,vwatkins@hotmail.co.uk,wendy.fernandez@corp-internal.com,(0131) 4960985,+1-256-435-4294x655,9735 Murray Plain Apt. 670,Silvamouth,MA,95437,USA,"Programmer, systems",HR,Steven Montgomery,2018-08-16,"$117,522",16%,049365324,XUBB20055410149828,Beverley Scott,543.787.6958,GRP-204799,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10332,3ca8e754-2968-42a8-af85-ff27dc15d412,Terminated,Tom,Luke,Johnson,,ZZ 284294 T,SB8421953,B1457116,1971-05-03,New Patrickland,Male,Single,United States,rebecca26@hotmail.com,tom.johnson@corp-internal.com,+44(0)114 4960713,+4428 9018112,366 Saunders Valleys,Port Glennstad,NV,38799,USA,Commercial art gallery manager,Sales,Charles Stone,2024-01-07,"$155,209",9%,092493418,PMWV23830683381611,Steven Dixon,+44(0)116 4960179,GRP-526740,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10333,81047ef1-cac7-48ce-944b-9e4ff867db1e,Active,Peter,Charlene,Nelson,,463-42-7648,YQ3258144,P5347388,1962-06-09,Haneyside,Female,Widowed,United States,tom14@outlook.com,peter.nelson@corp-internal.com,+1-725-325-8000,+1-560-819-5351x79645,"Flat 4
Roberts Divide",Lynchchester,MA,14590,USA,"Administrator, arts",HR,Mr. Jamie Moore DDS,2016-04-23,"$163,096",20%,022987075,FQOO49870660060461,Connor George,+4429 2018 0421,GRP-680462,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10334,5cf23b58-49eb-4ef2-ad3e-a5174a50da70,Active,Deanna,Katy,Cross,,840-88-2977,AP0414569,K7654659,1973-07-21,West William,Male,Single,United States,quinngail@gmail.com,deanna.cross@corp-internal.com,(669)427-0114x77554,+44115 4960206,996 Cook Pass Suite 351,Maureenview,HI,04571,USA,Oncologist,HR,Heather Miller,2025-10-16,"$83,117",9%,022477378,OFHY04661763810275,Martin Marsh,+44909 8790373,GRP-275258,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10335,1c008acf-5431-49c2-848e-f966a42fa6c9,Active,Michael,Bridget,Lord,,546-38-0940,PC7559979,H0509937,1996-04-18,Burgesston,Prefer not to say,Married,United States,azamora@gmail.com,michael.lord@corp-internal.com,+4428 9018 0376,240.763.0655x006,90 Adams Pike,East Jill,TN,44636,USA,Textile designer,Engineering,Amanda Horton,2025-12-20,"$46,189",14%,112057174,BBEG54611161653427,Shaun Middleton,379-500-3788,GRP-587788,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10336,32814edf-b45c-4dae-b3d1-db539d2ffb51,Active,Anna,Jill,Becker,,ZZ 52 30 42 T,KV2502897,Y7844510,1993-12-02,New Janiceport,Male,Married,United States,barry74@hotmail.com,anna.becker@corp-internal.com,318.448.9695,8498167058,0 Spencer Fall,Port Brandon,MD,95061,USA,Marine scientist,HR,Mohamed Morgan,2020-07-18,"$117,117",7%,055409274,OZDU88894986388551,Jeremy Perkins,+44113 496 0138,GRP-552017,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10337,ce604095-b305-4c91-b6a8-489eccb1a619,On Leave,Randy,Kyle,Shields,Johnson,ZZ544968T,MF9872962,S8556375,1973-10-20,North Leonardshire,Female,Married,United States,john49@hotmail.com,randy.shields@corp-internal.com,020 74960917,(911)467-1613x8073,75192 Adam Flats,Taylormouth,NY,35885,USA,Environmental manager,Legal,Kathy Wang,2020-04-26,"$53,202",8%,077423416,URVT56664144853696,Dr Gareth Howells,(888)915-1634x2005,GRP-192905,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10338,8eff8dd0-4754-438f-9a13-439fc7d804d7,On Leave,Mark,Amanda,Reid,,ZZ 76 44 60 T,PL1752959,X4298104,1970-04-10,Port Ryanview,Female,Divorced,United Kingdom,curtissean@hotmail.co.uk,mark.reid@corp-internal.com,(985)222-4367,(0113) 4960169,52 Clarke Walks,Amyview,NH,69254,USA,Photographer,Sales,Antony Robinson-Hall,2020-07-08,"$139,834",14%,061084586,JMWS27977617066552,Terry Watson,+44(0)118 4960356,GRP-843870,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10339,e3072a74-3506-4dd5-b855-a816a8a38a9e,Terminated,Sandra,Angela,Fitzpatrick,,ZZ 51 62 70 T,NN8670342,T3195343,1961-11-09,West Michelle,Female,Single,United States,barnettglenn@yahoo.co.uk,sandra.fitzpatrick@corp-internal.com,320.772.7259x383,(028) 9018540,040 Brandon Stream Apt. 406,Stephanieport,MT,93259,USA,"Engineer, maintenance (IT)",Finance,Jeremy Cooper,2023-05-30,"$107,012",10%,013348115,BHVW70111829724199,Bethan Moore,962.590.7263,GRP-645463,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10340,abf93ecd-6abf-42b7-9338-dd9d9c0185d2,Terminated,Rhonda,Fiona,Chapman,,ZZ 330940 T,MW3039290,Y0344966,1964-01-09,Johnchester,Non-Binary,Married,United Kingdom,ysanchez@gmail.com,rhonda.chapman@corp-internal.com,6504175104,+44(0)1174960721,8389 Carrillo Plains,Longmouth,AL,78168,USA,Clinical embryologist,Finance,Wayne Ellis,2025-01-29,"$104,906",6%,081188789,PICX38288692981508,Kate Watts,7374185507,GRP-358521,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10341,3fc9f6ae-1154-4654-9398-173852940f43,Terminated,Elizabeth,Anthony,Hood,,ZZ 493810 T,HT2849869,T1975189,1985-03-01,Teresatown,Female,Single,United Kingdom,franknelson@gmail.com,elizabeth.hood@corp-internal.com,+44(0)28 9018 0621,+44(0)306 9990105,4574 Stacey Station,West Ryan,AS,56242,USA,Forest/woodland manager,Legal,Danny White-Watson,2017-02-18,"$146,355",8%,089799552,OIDT17590924578064,Kevin Gonzales,(0161)4960193,GRP-707450,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10342,9fa69da9-ca73-48d3-b2cd-4fa98bb1e3f5,Active,Maria,Mitchell,Horton,,ZZ756617T,CT0990687,U2042029,1982-04-02,Leeview,Prefer not to say,Married,United States,dreid@yahoo.com,maria.horton@corp-internal.com,+4429 2018 0821,020 7946 0551,990 Akhtar Grove,South Ross,VT,29743,USA,Youth worker,HR,Jordan Robinson,2023-04-16,"$117,638",17%,108913730,ACTG31600572422556,Dr Oliver Cook,+1-346-762-4911,GRP-585985,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10343,5520f5ad-00ae-4748-b723-e1a67ec7f7f9,Active,Yvonne,Scott,Vasquez,,ZZ215603T,IX6998563,P5899624,1981-01-04,Smithbury,Male,Married,United States,powelllawrence@gmail.com,yvonne.vasquez@corp-internal.com,001-373-699-9453,+441632960878,412 Keith Street Suite 422,West Doris,IA,33829,USA,Fashion designer,Legal,James Morgan,2021-02-17,"$62,951",8%,025619751,EFEG85895364101488,Jacqueline Williams,+1-423-792-8090x959,GRP-228161,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10344,9127d1fe-4f1f-49a5-b3f5-fec060705faa,On Leave,Clive,Lisa,Carroll,,ZZ 65 77 51 T,HD4237228,F3711223,1986-08-01,West Susan,Non-Binary,Married,United States,uthompson@yahoo.com,clive.carroll@corp-internal.com,6579487665,(536)486-4944x808,622 Wyatt Brook,East Raymond,NJ,50094,USA,Animal technologist,HR,Andrea Moore-Duffy,2021-11-02,"$164,744",20%,019887939,FIQQ32820028987554,Jason Stafford,656-313-9518,GRP-702345,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10345,1dd6b848-e3e0-42b4-95e2-0a2d3d944e99,Active,Gail,Jamie,Preston,,ZZ 556554 T,QH4369600,Q3782716,1960-12-07,Thompsontown,Prefer not to say,Married,United Kingdom,williamwalker@yahoo.co.uk,gail.preston@corp-internal.com,671.549.6818x48772,01214960407,85251 Melinda Lodge Suite 986,Dawnfurt,KY,78276,USA,Arboriculturist,HR,Susan Morgan,2024-12-02,"$120,853",18%,097843584,NSDB53648273633653,Amelia Roberts,303-726-6685x97394,GRP-284968,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10346,dca9e4c1-cc42-4e40-ab4f-c472496cfc4d,Terminated,Leigh,Dorothy,Woodard,,185-48-0628,TB1514340,D6645729,1975-06-06,Jessicafort,Prefer not to say,Widowed,United Kingdom,otaylor@gmail.com,leigh.woodard@corp-internal.com,409.946.7588,(954)492-6583x7946,0059 Dodson Gardens Apt. 733,Friedmanfurt,NJ,48111,USA,"Scientist, research (physical sciences)",Engineering,Sheila Green,2020-02-05,"$102,072",9%,120394638,WEJJ55027677487027,Laura Norton,206.553.6348x59072,GRP-230792,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10347,c0ca60f2-37b0-40a6-941d-3fe05e67c3d0,On Leave,Abigail,Jack,King,,ZZ241709T,NB8632644,M7515611,2002-10-19,Johnsonmouth,Prefer not to say,Divorced,United States,khankathryn@yahoo.co.uk,abigail.king@corp-internal.com,994.899.9199x17931,01632960322,5 Simpson Dam,East Dwayne,NM,98978,USA,Financial risk analyst,Sales,Thomas Church,2021-02-02,"$84,091",17%,086562096,HCOA08840300089800,Billy Palmer,(0117)4960777,GRP-163432,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10348,0170ba69-93df-42f0-bb7f-818c0620714c,On Leave,Brenda,Eric,Davis,,ZZ 19 69 03 T,MN6106187,X6327793,1979-09-27,Janicebury,Female,Single,United States,housecaleb@gmail.com,brenda.davis@corp-internal.com,+44(0)113 496 0586,+44131 4960584,704 Wilson Inlet Apt. 976,West Patricia,FM,50824,USA,Theatre director,Legal,Marie Bolton,2025-09-21,"$145,626",16%,054090833,FMLG28664478771857,Laura Garcia,+44(0)289018345,GRP-182706,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10349,51cb4d15-f5ee-4a46-8af4-696f796df1c4,Active,Rebecca,Kevin,Thompson,,782-67-2093,JJ6079738,J4213541,1971-01-31,East Marion,Non-Binary,Married,United States,jean37@hotmail.com,rebecca.thompson@corp-internal.com,(389)676-4071x0284,+44(0)1632 960283,2 Holly Walk,New Alexandra,SC,96532,USA,Trade union research officer,Legal,Denis Lynch,2025-08-21,"$116,069",9%,093331715,MEMU15646956381281,Zoe Donnelly,(0117) 496 0718,GRP-355996,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10350,4f345aee-7e73-442e-a75d-89e16594b3a3,Active,Karen,Joyce,Fisher,,823-95-0082,DB6618209,K9527202,1969-09-20,Bethfurt,Male,Widowed,United States,parsonszoe@yahoo.com,karen.fisher@corp-internal.com,0118 496 0458,612.485.0899,818 Ashley Plains,Floresside,ME,20714,USA,Environmental manager,Legal,Joshua Hicks,2022-09-29,"$178,682",8%,107527897,ASWO78959465606017,Lisa Sullivan,001-483-601-9335x873,GRP-917233,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10351,f3dd95f6-b38d-4a36-bc8f-d23a3499ee4e,Terminated,Diana,Michelle,Lloyd,,ZZ522846T,BE9616036,N6742678,1995-10-16,Beckermouth,Female,Divorced,United States,saramann@gmail.com,diana.lloyd@corp-internal.com,+1-561-754-3006,293.777.3709,64 Sheppard Forges,Katherinetown,RI,63425,USA,"Scientist, research (life sciences)",HR,Miss Judith Smith,2024-11-13,"$47,468",20%,077313157,IMWH84932501550903,Dr Sharon Price,001-627-825-6830x634,GRP-955423,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10352,2f3e0eed-c45c-4a49-8656-854eeb90b58f,Active,Liam,Sandra,Jones,,415-77-0354,MA0371825,J4321315,1966-07-14,Marymouth,Non-Binary,Single,United States,kathy80@hotmail.com,liam.jones@corp-internal.com,(775)587-6127x52745,572-874-9526x20962,"Flat 2
Harrison Streets",South Williamfort,DE,43380,USA,Immigration officer,HR,Casey Duran,2023-02-21,"$168,149",17%,108638714,QZHM51624672571311,Anthony Kidd,(01632)960794,GRP-179565,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10353,c1517fad-4248-43fe-b2f3-fbd192486e8b,Terminated,Lee,Louis,Phillips,,752-64-0141,NC7792314,H1814667,1986-06-22,Mariafort,Prefer not to say,Single,United States,brian53@yahoo.com,lee.phillips@corp-internal.com,(0118) 4960708,001-254-271-9436x5684,9583 Porter Motorway,Reginafurt,MH,87365,USA,Sports coach,Finance,Gail Garner,2016-07-20,"$142,982",10%,119931073,ASVC58035288648099,Jason Anderson,355.254.8435x39766,GRP-499092,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10354,9cd60a0a-ac5f-4141-bea9-a5e48c73efa4,Active,Leonard,Omar,Smith,,182-55-8982,FG7631788,D1302937,1988-09-02,Dorothyborough,Male,Married,United States,wneal@hotmail.com,leonard.smith@corp-internal.com,(210)437-7221,+441614960980,"Studio 2
Amanda Greens",South Jamesville,KY,54951,USA,Insurance broker,Legal,Erica Vaughan,2016-03-04,"$48,787",8%,061922622,LDZK25505931086488,Sherry Greene,536.360.9194x27600,GRP-736762,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10355,f5194afa-53c1-4d9a-8212-26ce7d734566,Active,Carolyn,Jeremiah,Williams,,245-54-5336,KM0125911,L4393513,1994-02-21,North Frank,Prefer not to say,Divorced,United States,jdavis@yahoo.com,carolyn.williams@corp-internal.com,(0909) 879 0850,(696)412-4137,"Studio 15J
Colin Street",New Christopher,GU,48787,USA,Illustrator,HR,Jasmine Kim,2016-02-06,"$126,156",9%,021485455,ZRET56312225444522,Krista Obrien,308.644.2426x230,GRP-428280,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10356,1f5499db-e618-48e7-b323-5235604c5133,Active,Ellie,Dominic,Williams,,090-77-7509,BN5014979,I3770419,1995-08-30,Leeland,Prefer not to say,Widowed,United States,leonjones@outlook.com,ellie.williams@corp-internal.com,996.458.0701x436,(426)801-9178x032,2754 Tara Road,Port Kellyhaven,CT,62341,USA,Retail buyer,Sales,Bradley West,2023-05-06,"$81,260",8%,089783584,HNYG98992012561318,Paige Garcia,(0121) 496 0335,GRP-153745,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10357,5678fafa-0490-4ebc-8f66-2c1ccb3dcef8,Terminated,Elliott,Ryan,Ball,,ZZ 184089 T,VA0203315,J8602970,1976-07-16,Lake Thomas,Prefer not to say,Single,United States,alexander51@yahoo.com,elliott.ball@corp-internal.com,859.400.3105x8669,+44(0)909 879 0733,7448 Sanchez Alley Apt. 695,East Brendatown,MT,04650,USA,Curator,Engineering,Robert King,2024-09-24,"$153,481",16%,024487887,TMRP08941572276864,John Moore,837-220-1948,GRP-401568,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10358,361e9849-72c7-46a2-aec0-a6b4693b1623,On Leave,Linda,Jeffrey,Smith,,328-59-2094,LG3703402,B2486880,1962-12-01,South Saraville,Male,Married,United Kingdom,kevin02@yahoo.com,linda.smith@corp-internal.com,318-771-7589x815,(0114) 496 0637,769 Cox Divide,Fosterberg,KY,63813,USA,"Editor, magazine features",Finance,Mr Jamie Davies,2016-10-23,"$112,500",17%,027598773,QLDE45721618380255,Kimberly Carr,(029)2018038,GRP-546088,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10359,f25dae7c-14ff-454b-a194-5a9d556c63dd,On Leave,Alan,Shane,Johnston,,226-02-4266,LW7038158,M2196298,1981-07-03,South Yvetteside,Female,Widowed,United States,brianbell@yahoo.com,alan.johnston@corp-internal.com,0161 496 0717,+44(0)3069990505,04184 Rosales Fall Apt. 190,Charlesville,FL,52573,USA,Health physicist,Sales,June Sharp,2019-01-17,"$111,161",6%,053226022,LION61691362336554,Callum Watson-Murphy,(353)649-1574,GRP-186236,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10360,e3c78f49-d740-4f0a-a43e-b4a0c4adf752,On Leave,Cynthia,Barbara,Gonzales,,ZZ 665116 T,FU5222741,A0895661,1987-07-12,North Ann,Male,Divorced,United States,dominicallen@yahoo.com,cynthia.gonzales@corp-internal.com,638.700.6358x36408,(0116) 4960675,429 Paula Isle,East Norman,GA,17146,USA,Immunologist,Sales,Kayleigh Andrews,2025-10-28,"$172,175",6%,084503390,FQHC78193277523215,Dana Smith,(028)9018559,GRP-718572,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10361,f82242c8-f336-4eb2-96c8-7a0b567d8268,Terminated,Bernard,Adrienne,Jackson,,619-31-7193,RV0375140,M1101296,2002-09-16,New Edward,Non-Binary,Widowed,United States,fmistry@yahoo.com,bernard.jackson@corp-internal.com,(0909)8790867,+1-697-424-2549x7961,"Flat 5
Warner Knolls",New Brandonfurt,NH,89632,USA,Environmental manager,Engineering,Brandon Jones,2019-09-26,"$155,447",17%,026940898,JSLZ83993913647312,Stewart Shaw,(0151) 496 0801,GRP-642090,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10362,5f53eea6-50be-40e4-992e-6244ad770402,Active,Joseph,Sabrina,Davies,,380-81-9759,OJ6029781,R8968272,1975-01-14,Port Frederick,Prefer not to say,Divorced,United States,kimberlyespinoza@hotmail.com,joseph.davies@corp-internal.com,001-247-387-9498x64376,+441184960200,"Studio 6
Frank Knoll",East Graeme,MD,72215,USA,Counsellor,Engineering,Amelia Richardson,2025-09-30,"$143,208",13%,125281092,TSKC81039452796818,Karen Mason,0131 496 0275,GRP-174412,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10363,b00a4a2f-0044-46b9-92b4-ba961d54e1fb,On Leave,Jennifer,Shirley,Moore,,191-28-8894,SS0045274,O7288350,1997-09-07,New Chelseaport,Female,Single,United States,rossdavies@yahoo.co.uk,jennifer.moore@corp-internal.com,001-599-609-9140,+1-632-915-0015x9913,"Studio 3
Thomas Viaduct",Parkerport,NC,79717,USA,Agricultural consultant,Engineering,Carolyn Griffiths-Short,2017-11-11,"$90,727",13%,114479815,OTUS32491513879821,Katelyn Werner,(029)2018031,GRP-835789,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10364,0640c001-3527-44ee-af26-871abee0a8b2,On Leave,Michael,Richard,Walker,,ZZ 23 73 19 T,FK0391536,S7821184,1985-08-16,North Courtneyhaven,Male,Single,United States,kspears@gmail.com,michael.walker@corp-internal.com,(0115) 4960532,+44(0)114 4960702,67561 Malone Wells Suite 478,South Steventown,VI,59366,USA,Metallurgist,Sales,Nicola Sanders-Chambers,2022-01-12,"$173,281",15%,105267379,RTPL04880533651532,Heather Macias,+44(0)141 4960974,GRP-232552,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10365,15a50f1c-ec5a-4adb-8ff8-ac9497f85a43,Terminated,Tom,Sian,Jackson,,870-68-9753,EU1032618,A7106874,1969-05-19,Nicolefurt,Female,Widowed,United States,blackmark@yahoo.com,tom.jackson@corp-internal.com,(0306)9990040,+1-220-951-7781x8039,334 Avila Cliff,North Sara,NH,83044,USA,Early years teacher,Finance,Victor Jones,2021-03-29,"$170,814",13%,075085665,UKPD74087494375338,Joshua Hicks,+1-361-646-5088x61821,GRP-856223,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10366,9c888e15-1c34-460b-b8ab-e90b0814fafa,Terminated,Karen,Stephen,Lopez,,ZZ 30 21 01 T,EV8577183,C6182307,1975-09-29,McLeanland,Male,Married,United Kingdom,williamssam@outlook.com,karen.lopez@corp-internal.com,(0113) 4960433,6908590696,9590 Christine Prairie Apt. 273,Meganport,IL,02821,USA,Information officer,Finance,Joshua Kent,2019-03-31,"$92,874",7%,039299332,JFRU94176516361103,Richard Howard,(020)74960155,GRP-794142,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10367,7810c82e-70ff-4eae-84d2-fe0d00e917ae,Active,Rhonda,Adriana,Roberts,,282-83-3119,VM9375132,T7439932,2000-10-28,West Raymondton,Female,Divorced,United States,briddle@hotmail.com,rhonda.roberts@corp-internal.com,+44118 4960213,+44115 4960216,9041 Finley Ford,Blairhaven,WA,30119,USA,"Presenter, broadcasting",HR,Dr Maurice Whitehead,2023-12-29,"$136,195",14%,100364316,OVCO92107239542054,Dr Jenna Johnson,001-991-499-2633x78470,GRP-331436,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10368,b3d22985-50d7-4eb9-b98f-c5663ca11503,Terminated,Lindsay,Deanna,Reed,,ZZ 84 80 14 T,RX4044381,Q3598553,1967-01-23,Laurenland,Male,Widowed,United States,beverley31@hotmail.com,lindsay.reed@corp-internal.com,(0131)4960892,(685)222-0890x2198,589 Olson Inlet Suite 964,Bethanyberg,MH,94444,USA,Product/process development scientist,HR,Toby Robinson,2017-08-16,"$78,441",17%,103634849,KUPO90424392888371,Jodi Newman,(0151) 496 0540,GRP-565978,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10369,0faadacb-09a3-41e0-a22f-7627c7993faa,On Leave,Francesca,Natalie,Carey,,277-63-4224,OX1085268,E5820842,1996-03-30,Parsonsburgh,Non-Binary,Single,United States,shughes@hotmail.com,francesca.carey@corp-internal.com,(798)407-7579,+44114 4960100,9281 Gabriel Passage Suite 948,Jonesstad,AZ,92966,USA,Travel agency manager,Sales,Melinda Rhodes,2020-06-18,"$88,041",20%,123092720,KGEO96323900818533,Stanley Byrne,+44(0)909 8790252,GRP-694583,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10370,78a095d6-41c0-4a4d-93f7-3690a91e1dd7,Terminated,John,Sarah,Day,,ZZ 020787 T,IZ2277255,X0228722,1986-04-27,New Jeffrey,Prefer not to say,Divorced,United States,millsdanny@hotmail.com,john.day@corp-internal.com,752.726.1144,(0191) 496 0417,807 Taylor Springs,Andrewshaven,CO,01465,USA,Paramedic,Finance,Josh King,2022-08-24,"$91,974",6%,121569747,BNEB44859728825916,Steven Gallegos,0118 4960254,GRP-257170,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10371,ed69f890-cfe7-456a-b3f2-6466162c3ce1,Terminated,Josh,Jennifer,Smith,,ZZ120519T,DP1030769,B1250428,1963-04-06,Quinnhaven,Female,Single,United States,donald25@yahoo.co.uk,josh.smith@corp-internal.com,+1-756-933-1555x778,(0118) 4960425,63545 Singh Manor Suite 095,Rodriguezburgh,VI,29229,USA,"Scientist, research (maths)",Engineering,Samantha Smith,2016-03-20,"$98,751",13%,048648042,NZKB16433254233987,Lynn Hodgson-Bartlett,4709624630,GRP-144353,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10372,17518fe1-5d1b-4998-9479-3896881e5495,On Leave,Marilyn,Susan,Watts,,ZZ 39 33 20 T,PZ7603564,A8470640,1996-11-12,Smithview,Prefer not to say,Divorced,United States,rogersmark@yahoo.com,marilyn.watts@corp-internal.com,(0113) 496 0043,+44(0)151 496 0414,00421 Daniel Path,Raymondburgh,SC,95718,USA,Radiation protection practitioner,Engineering,Justin Warren,2017-08-10,"$168,195",17%,043785528,WEFP32162065251377,Jane Barber,+44(0)114 496 0305,GRP-503394,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10373,03cd8f27-9c71-409c-ac4e-58efcaaf11cc,On Leave,Sheila,Mathew,Newton,,ZZ 026335 T,IZ8597508,V6513506,1982-10-12,Pamelatown,Prefer not to say,Divorced,United States,hmendez@yahoo.com,sheila.newton@corp-internal.com,+44808 1570204,866-335-5601x414,"Studio 71
Osborne Plaza",East Claire,NH,82822,USA,Corporate investment banker,Sales,Aaron Newman,2016-04-09,"$95,559",20%,085926785,YRES67538039546808,Graham Henderson,826.337.5894x0996,GRP-381043,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10374,7183b9da-4221-4a62-ab06-d4e9b0ab2341,Terminated,Jodie,Martyn,Marsden,,ZZ 20 91 96 T,MV1176313,L3058575,1972-03-05,Brownbury,Male,Married,United States,sullivantina@gmail.com,jodie.marsden@corp-internal.com,416-416-3834,+1-662-893-2881,19 Collier Camp,Kevinside,OK,30422,USA,"Designer, textile",Engineering,Lisa Dunn,2024-09-06,"$132,100",17%,096587757,TSKS79806058481220,Shannon Larson,001-908-433-2242x78825,GRP-114578,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10375,b6310cd3-9c55-4bfc-9582-cc634eb203a6,Terminated,Zoe,Laura,Nelson,,ZZ698957T,AL4790400,F6534336,1977-11-24,Jacksonton,Female,Widowed,United States,james70@yahoo.com,zoe.nelson@corp-internal.com,001-341-820-5692x514,+44(0)28 9018 0966,"Studio 7
Thomas Valleys",West James,OH,85881,USA,Claims inspector/assessor,Finance,Damian Kerr,2025-08-02,"$106,338",5%,046145990,IBJM72245523785527,Georgina Holmes,001-678-798-8875x25573,GRP-362241,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10376,527fa7ba-a722-418a-8190-d335dc4a9650,On Leave,Robert,Dylan,Ahmed,,649-92-8248,UA1964246,D1550441,1962-04-19,Lake Catherineland,Male,Widowed,United States,perryleanne@hotmail.co.uk,robert.ahmed@corp-internal.com,6584310497,(028)9018785,834 Day Springs,Joelton,GA,33016,USA,"Education officer, museum",Engineering,Bethany Wallace,2017-05-23,"$101,415",15%,109573551,QVKB87951188371713,Robert Williams,3309790953,GRP-583633,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10377,69ca81f9-5480-4424-b0f1-3a42a669787b,Terminated,Sandra,Veronica,Dodson,,ZZ 821180 T,PA9769203,S6255549,1969-02-20,Rachaelbury,Prefer not to say,Widowed,United States,traceysmith@yahoo.co.uk,sandra.dodson@corp-internal.com,(933)298-4982,(0118) 4960433,07 Wall Avenue,South Nicole,IL,97086,USA,IT technical support officer,Engineering,Mr Victor Hamilton,2019-03-19,"$137,984",7%,047285464,WWMX79922557082433,Jamie Dawson,+1-441-800-5378x326,GRP-230430,CONFIDENTIAL - INTERNAL USE ONLY
